time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T13:07:44.998Z,37.9941,37.4183,17.1,5,mb,72,88,0.837,0.58,us,us6000jlrv,2023-02-06T18:14:11.793Z,"3 km NNW of Nurhak, Turkey",earthquake,3.99,4.206,0.06,88,reviewed,us,us
2023-02-06T13:02:38.932Z,42.8119,69.1703,7.202,4.6,mb,29,93,1.027,0.69,us,us6000jlrs,2023-02-06T16:03:18.040Z,"24 km NNW of Temirlanovka, Kazakhstan",earthquake,5.98,5.165,0.172,10,reviewed,us,us
2023-02-06T13:00:13.825Z,38.4775,37.3749,10,4.5,mb,31,77,1.253,0.89,us,us6000jlrt,2023-02-06T15:28:06.040Z,"13 km WSW of Darende, Turkey",earthquake,4.87,1.902,0.131,17,reviewed,us,us
2023-02-06T12:36:36.913Z,38.101,38.2227,10,4.7,mb,39,110,1.227,0.39,us,us6000jlrk,2023-02-06T13:07:01.040Z,"8 km N of Çelikhan, Turkey",earthquake,5.81,1.922,0.095,34,reviewed,us,us
2023-02-06T12:34:43.520Z,38.1116,38.244,13.017,4.9,mb,38,95,1.247,0.79,us,us6000jlrj,2023-02-06T18:18:34.081Z,"9 km N of Çelikhan, Turkey",earthquake,5.28,4.691,0.123,21,reviewed,us,us
2023-02-06T12:13:47.350Z,37.9016,37.4176,10,4.8,mb,72,68,0.747,0.68,us,us6000jlrg,2023-02-06T12:52:12.040Z,"Central Turkey",earthquake,4.79,1.822,0.066,70,reviewed,us,us
2023-02-06T12:02:11.825Z,38.0605,36.537,10,6,mb,116,29,0.958,1,us,us6000jlrc,2023-02-06T16:19:35.986Z,"5 km NE of Göksun, Turkey",earthquake,4.4,1.811,0.027,513,reviewed,us,us
2023-02-06T11:58:36.837Z,38.0358,37.5511,10,4.8,mb,58,73,0.904,0.61,us,us6000jlrb,2023-02-06T13:22:26.040Z,"12 km NE of Nurhak, Turkey",earthquake,3.42,1.866,0.073,58,reviewed,us,us
2023-02-06T11:39:41.423Z,38.0562,36.5829,10,4.8,mb,54,48,0.982,0.6,us,us6000jlr7,2023-02-06T14:14:34.040Z,"8 km ENE of Göksun, Turkey",earthquake,4.99,1.868,0.08,48,reviewed,us,us
2023-02-06T11:11:41.258Z,37.82,37.2952,17.971,4.9,mb,65,74,0.65,0.83,us,us6000jlqx,2023-02-06T18:17:14.832Z,"8 km N of Ça?layancerit, Turkey",earthquake,5.77,4.455,0.082,47,reviewed,us,us
2023-02-06T11:05:35.742Z,37.9231,36.6909,10,5.2,mb,55,134,1.14,0.89,us,us6000jlqr,2023-02-06T18:18:05.114Z,"Central Turkey",earthquake,6.76,1.706,0.087,43,reviewed,us,us
2023-02-06T11:01:34.428Z,37.4806,37.2218,10,5,mb,27,239,1.746,0.78,us,us6000jlqy,2023-02-06T18:10:00.466Z,"6 km W of Pazarc?k, Turkey",earthquake,14.65,1.982,0.15,14,reviewed,us,us
2023-02-06T10:51:30.942Z,38.1236,38.0529,12.336,5.7,mb,88,69,1.162,0.97,us,us6000jlql,2023-02-06T18:16:13.290Z,"16 km ENE of Do?an?ehir, Turkey",earthquake,5.65,4.266,0.051,139,reviewed,us,us
2023-02-06T10:35:58.653Z,38.0084,37.7505,10,5.8,mb,67,67,0.939,0.88,us,us6000jlqe,2023-02-06T18:15:14.717Z,"13 km SW of Do?an?ehir, Turkey",earthquake,4.9,1.844,0.057,112,reviewed,us,us
2023-02-06T10:26:48.486Z,38.0302,37.9636,20.094,6,mb,59,63,1.045,0.62,us,us6000jm1y,2023-02-06T20:32:23.351Z,"Central Turkey",earthquake,2.91,4.649,0.084,53,reviewed,us,us
2023-02-06T10:24:49.258Z,38.0235,37.203,10,7.5,mww,135,17,0.85,0.93,us,us6000jlqa,2023-02-06T21:47:14.161Z,"4 km SSE of Ekinözü, Turkey",earthquake,4.94,1.824,0.041,58,reviewed,us,us
2023-02-06T09:23:45.706Z,36.9839,36.4927,10,4.6,mb,54,78,0.603,0.84,us,us6000jlq1,2023-02-06T09:49:42.040Z,"Turkey-Syria border region",earthquake,5.61,1.882,0.086,40,reviewed,us,us
2023-02-06T08:58:35.484Z,38.054,38.2569,15.265,4.5,mb,62,98,1.211,0.57,us,us6000jlpx,2023-02-06T14:34:04.040Z,"3 km NNE of Çelikhan, Turkey",earthquake,5.46,4.57,0.084,42,reviewed,us,us
2023-02-06T08:52:37.335Z,37.449,37.2334,10,4.8,mb,58,61,0.277,0.78,us,us6000jlpv,2023-02-06T09:31:48.040Z,"7 km SW of Pazarc?k, Turkey",earthquake,7.54,1.884,0.072,60,reviewed,us,us
2023-02-06T08:01:46.065Z,36.6629,36.477,10,4.5,mb,54,81,0.777,0.71,us,us6000jlpp,2023-02-06T10:38:08.040Z,"14 km SSW of A?a?? Karafak?l?, Turkey",earthquake,3.28,1.904,0.093,34,reviewed,us,us
2023-02-06T07:42:22.832Z,-0.3645,123.1752,10,4.7,mb,48,46,2.807,0.59,us,us6000jlpj,2023-02-06T13:57:49.040Z,"Sulawesi, Indonesia",earthquake,7.22,1.861,0.094,34,reviewed,us,us
2023-02-06T07:11:34.556Z,-7.6034,117.1582,343.249,4.9,mb,95,56,3.642,0.59,us,us6000jlpc,2023-02-06T07:30:43.040Z,"96 km NNW of Pototano, Indonesia",earthquake,9.17,7.718,0.064,75,reviewed,us,us
2023-02-06T07:08:31.825Z,36.7072,36.6722,13.429,4.6,mb,61,157,0.633,0.5,us,us6000jlpb,2023-02-06T08:02:15.040Z,"12 km SE of A?a?? Karafak?l?, Turkey",earthquake,3.82,5.269,0.105,27,reviewed,us,us
2023-02-06T06:54:57.488Z,37.6414,37.3835,10,4.8,mb,85,69,0.489,0.55,us,us6000jlp9,2023-02-06T07:16:55.040Z,"",earthquake,8.95,1.871,0.065,74,reviewed,us,us
2023-02-06T06:26:29.533Z,37.483,37.1811,10,4.6,mb,50,99,0.311,0.64,us,us6000jlsg,2023-02-06T15:34:10.040Z,"10 km W of Pazarc?k, Turkey",earthquake,5.34,1.915,0.095,33,reviewed,us,us
2023-02-06T06:26:10.752Z,36.5684,36.0133,10,4.6,mb,32,97,1.133,0.55,us,us6000jlp5,2023-02-06T10:49:17.040Z,"14 km W of ?skenderun, Turkey",earthquake,10.03,1.921,0.107,26,reviewed,us,us
2023-02-06T05:55:51.598Z,37.9912,38.4376,16.542,4.5,mb,51,104,1.273,0.58,us,us6000jlp1,2023-02-06T06:13:26.040Z,"16 km WSW of Sincik, Turkey",earthquake,4.74,4.727,0.093,34,reviewed,us,us
2023-02-06T05:36:33.996Z,36.3185,36.2325,10.617,4.6,mb,57,133,1.158,0.53,us,us6000jlp0,2023-02-06T05:56:51.040Z,"3 km E of Anayaz?, Turkey",earthquake,7.53,5.353,0.081,45,reviewed,us,us
2023-02-06T05:01:51.307Z,37.7637,37.9099,20.234,4.6,mb,52,99,0.812,0.63,us,us6000jlnv,2023-02-06T05:49:30.040Z,"Central Turkey",earthquake,5.84,5.119,0.073,56,reviewed,us,us
2023-02-06T04:18:46.788Z,38.2034,38.5363,14.464,5,mb,95,44,1.472,0.86,us,us6000jlnf,2023-02-06T19:50:36.936Z,"eastern Turkey",earthquake,6.57,4.287,0.057,99,reviewed,us,us
2023-02-06T04:16:49.487Z,37.5032,37.3323,13.215,4.5,mb,57,74,0.345,0.76,us,us6000jlnd,2023-02-06T04:39:00.585Z,"3 km ENE of Pazarc?k, Turkey",earthquake,5.37,5.371,0.093,34,reviewed,us,us
2023-02-06T03:45:48.563Z,38.1983,38.5977,15.415,4.8,mb,97,66,1.504,0.75,us,us6000jln9,2023-02-06T04:33:27.159Z,"18 km N of Sincik, Turkey",earthquake,5.44,4.074,0.07,63,reviewed,us,us
2023-02-06T03:12:12.595Z,37.4711,37.3091,12.567,4.5,mb,52,79,3.561,0.99,us,us6000jln3,2023-02-06T06:07:10.575Z,"1 km SSE of Pazarc?k, Turkey",earthquake,9.53,4.642,0.083,42,reviewed,us,us
2023-02-06T03:04:45.466Z,38.1844,38.4761,17.922,4.7,mb,91,66,1.425,0.86,us,us6000jln0,2023-02-06T03:36:13.040Z,"20 km NW of Sincik, Turkey",earthquake,6.21,4.213,0.067,67,reviewed,us,us
2023-02-06T02:54:00.615Z,36.6379,36.3874,10,4.6,mb,87,72,0.848,1,us,us6000jlmv,2023-02-06T04:57:12.221Z,"15 km E of Denizciler, Turkey",earthquake,6.37,1.884,0.064,74,reviewed,us,us
2023-02-06T02:23:14.645Z,37.2035,36.9702,11.411,5.2,mb,107,36,0.194,0.81,us,us6000jlmn,2023-02-06T03:22:25.602Z,"21 km E of Nurda??, Turkey",earthquake,5.15,4.282,0.061,88,reviewed,us,us
2023-02-06T02:22:27.497Z,-30.9906,-177.112,10,5.1,mb,18,208,1.86,0.5,us,us6000jlmq,2023-02-06T03:15:19.040Z,"",earthquake,10.71,1.944,0.158,13,reviewed,us,us
2023-02-06T02:17:40.302Z,37.0791,36.6898,10,4.8,mb,39,191,0.426,0.69,us,us6000jlmm,2023-02-06T02:51:13.040Z,"10 km SSW of Nurda??, Turkey",earthquake,3.45,1.957,0.1,31,reviewed,us,us
2023-02-06T02:03:36.258Z,37.7769,37.9199,10,5.5,mb,64,45,0.827,0.8,us,us6000jlmh,2023-02-06T17:54:38.938Z,"2 km S of Tut, Turkey",earthquake,5.18,1.806,0.055,114,reviewed,us,us
2023-02-06T02:01:45.663Z,37.3549,37.0939,10.358,4.8,mb,53,81,0.204,0.9,us,us6000jlmy,2023-02-06T03:14:00.040Z,"23 km SW of Pazarc?k, Turkey",earthquake,4.9,4.435,0.089,39,reviewed,us,us
2023-02-06T01:58:23.594Z,37.1023,36.6056,10,5.1,mb,65,121,0.488,0.72,us,us6000jlmf,2023-02-06T02:48:59.040Z,"6 km ESE of Hasanbeyli, Turkey",earthquake,6.15,1.867,0.072,62,reviewed,us,us
2023-02-06T01:36:28.018Z,37.0175,36.7443,10,5.6,mb,87,75,1.964,1.19,us,us6000jlm9,2023-02-06T03:40:55.136Z,"16 km S of Nurda??, Turkey",earthquake,6.22,1.783,0.042,196,reviewed,us,us
2023-02-06T01:28:15.989Z,37.1272,36.9426,14.497,6.7,mww,108,44,0.218,0.73,us,us6000jlm1,2023-02-06T18:13:11.890Z,"",earthquake,9.73,3.825,0.098,10,reviewed,us,us
2023-02-06T01:26:49.248Z,37.0538,37.086,17.004,5.6,mb,64,124,0.154,0.81,us,us6000jlnn,2023-02-06T07:23:56.453Z,"23 km NE of Musabeyli, Turkey",earthquake,5.59,4.868,0.087,47,reviewed,us,us
2023-02-06T01:17:35.796Z,37.1736,37.032,17.925,7.8,mww,118,32,1.919,1.06,us,us6000jllz,2023-02-06T21:45:57.680Z,"26 km E of Nurda??, Turkey",earthquake,5.83,3.676,0.05,38,reviewed,us,us
2023-02-05T21:58:49.467Z,27.208,143.4892,10,4.7,mb,41,137,10.329,0.77,us,us6000jllc,2023-02-05T22:56:47.040Z,"",earthquake,12.32,1.901,0.078,50,reviewed,us,us
2023-02-05T12:58:22.835Z,48.9436,157.3246,48.287,4.5,mb,45,136,4.17,0.33,us,us6000jljv,2023-02-05T13:17:08.040Z,"211 km SSE of Severo-Kuril’sk, Russia",earthquake,9.95,7.22,0.091,36,reviewed,us,us
